date,value
4/11/2019,114.6282
4/12/2019,114.3512
4/15/2019,114.4936
4/16/2019,114.6744
4/17/2019,114.5122
4/18/2019,114.7043
4/19/2019,114.6947
4/22/2019,114.7668
4/23/2019,115.1551
4/24/2019,115.4156
4/25/2019,115.7674
4/26/2019,115.4726
4/29/2019,115.5197
4/30/2019,115.3259
5/1/2019,115.0003
5/2/2019,115.5598
5/3/2019,115.2626
5/6/2019,115.3795
5/7/2019,115.6099
5/8/2019,115.5161
5/9/2019,115.8429
5/10/2019,115.5339
5/13/2019,115.9161
5/14/2019,115.9433
5/15/2019,115.8571
5/16/2019,116.0351
5/17/2019,116.4495
5/20/2019,116.3135
5/21/2019,116.2849
5/22/2019,116.2414
5/23/2019,116.2374
5/24/2019,116.0815
5/27/2019,.
5/28/2019,116.3184
5/29/2019,116.5537
5/30/2019,116.3983
5/31/2019,116.7282
6/3/2019,116.4785
6/4/2019,116.0928
6/5/2019,116.0319
6/6/2019,115.9808
6/7/2019,115.7409
6/10/2019,115.5027
6/11/2019,115.3816
6/12/2019,115.4401
6/13/2019,115.629
6/14/2019,115.9061
6/17/2019,115.9693
6/18/2019,115.8793
6/19/2019,115.7891
6/20/2019,114.8039
6/21/2019,114.8377
6/24/2019,114.6579
6/25/2019,114.6382
6/26/2019,114.5626
6/27/2019,114.667
6/28/2019,114.584
7/1/2019,114.7241
7/2/2019,114.8263
7/3/2019,114.8134
7/4/2019,.
7/5/2019,115.1125
7/8/2019,115.0243
7/9/2019,115.1008
7/10/2019,115.0888
7/11/2019,114.8364
7/12/2019,114.7684
7/15/2019,114.6818
7/16/2019,115.0104
7/17/2019,114.8814
7/18/2019,114.8738
7/19/2019,114.8688
7/22/2019,115.0014
7/23/2019,115.2984
7/24/2019,115.2422
7/25/2019,115.2971
7/26/2019,115.5435
7/29/2019,115.5876
7/30/2019,115.6204
7/31/2019,115.4932
8/1/2019,116.0482
8/2/2019,116.1861
8/5/2019,116.589
8/6/2019,116.6941
8/7/2019,116.8038
8/8/2019,116.4778
8/9/2019,116.4455
8/12/2019,116.7587
8/13/2019,116.7296
8/14/2019,117.0932
8/15/2019,117.2249
8/16/2019,117.0792
8/19/2019,117.3905
8/20/2019,117.3743
8/21/2019,117.1781
8/22/2019,117.3581
8/23/2019,117.305
8/26/2019,117.6704
8/27/2019,117.7548
8/28/2019,117.8813
8/29/2019,118.0667
8/30/2019,118.1602
9/2/2019,.
9/3/2019,118.3132
9/4/2019,117.6748
9/5/2019,117.48
9/6/2019,117.1302
9/9/2019,117.0616
9/10/2019,117.0894
9/11/2019,117.3131
9/12/2019,116.8388
9/13/2019,116.7691
9/16/2019,117.0251
9/17/2019,116.9841
9/18/2019,116.9783
9/19/2019,117.0884
9/20/2019,117.1834
9/23/2019,117.3006
9/24/2019,117.225
9/25/2019,117.6547
9/26/2019,117.729
9/27/2019,117.7245
9/30/2019,117.9485
10/1/2019,117.9619
10/2/2019,117.9699
10/3/2019,117.6637
10/4/2019,117.531
10/7/2019,117.5553
10/8/2019,117.7419
10/9/2019,117.6853
10/10/2019,117.2822
10/11/2019,116.8261
10/14/2019,.
10/15/2019,116.8123
10/16/2019,116.6446
10/17/2019,116.2638
10/18/2019,116.137
10/21/2019,116.0462
10/22/2019,115.9874
10/23/2019,116.0602
10/24/2019,116.1287
10/25/2019,116.0779
10/28/2019,116.0231
10/29/2019,115.9812
10/30/2019,116.1654
10/31/2019,115.9144
11/1/2019,115.7331
11/4/2019,115.8642
11/5/2019,116.1145
11/6/2019,116.1009
11/7/2019,116.1167
11/8/2019,116.3428
11/11/2019,.
11/12/2019,116.5835
11/13/2019,116.8402
11/14/2019,116.8032
11/15/2019,116.441
11/18/2019,116.3645
11/19/2019,116.5414
11/20/2019,116.8309
11/21/2019,116.7461
11/22/2019,116.9157
11/25/2019,117.0118
11/26/2019,117.0538
11/27/2019,117.1299
11/28/2019,.
11/29/2019,117.1231
12/2/2019,116.9686
12/3/2019,116.8941
12/4/2019,116.6959
12/5/2019,116.3879
12/6/2019,116.5409
12/9/2019,116.3311
12/10/2019,116.2573
12/11/2019,116.1508
12/12/2019,115.8766
12/13/2019,115.6992
12/16/2019,115.5572
12/17/2019,115.5571
12/18/2019,115.663
12/19/2019,115.6004
12/20/2019,115.7606
12/23/2019,115.8069
12/24/2019,.
12/25/2019,.
12/26/2019,115.635
12/27/2019,115.2219
12/30/2019,114.9654
12/31/2019,114.6709
1/1/2020,.
1/2/2020,114.9755
1/3/2020,114.9872
1/6/2020,114.9566
1/7/2020,115.1473
1/8/2020,115.1317
1/9/2020,115.2319
1/10/2020,115.0666
1/13/2020,115.0328
1/14/2020,115.0219
1/15/2020,114.9518
1/16/2020,114.9986
1/17/2020,115.0621
1/20/2020,.
1/21/2020,115.1851
1/22/2020,115.2247
1/23/2020,115.5526
1/24/2020,115.5531
1/27/2020,115.7983
1/28/2020,115.721
1/29/2020,115.6967
1/30/2020,115.8055
1/31/2020,115.7337
2/3/2020,116.1172
2/4/2020,115.9279
2/5/2020,116.0063
2/6/2020,116.1486
2/7/2020,116.5059
2/10/2020,116.5679
2/11/2020,116.3548
2/12/2020,116.2749
2/13/2020,116.3951
2/14/2020,116.417
2/17/2020,.
2/18/2020,116.5985
2/19/2020,116.7767
2/20/2020,117.2407
2/21/2020,117.0438
2/24/2020,117.4
2/25/2020,117.2406
2/26/2020,117.4042
2/27/2020,117.3688
2/28/2020,117.6588
